A171           ,238
A3000          ,396
A3000-TOOL     ,396
A3001          ,234
A3002          ,396
A3003          ,396
A3004          ,396
A3005          ,336
A3006          ,101
A3007          ,845
A3008          ,845
A3009          ,845
A3010          ,845
A3011          ,308
A3012          ,308
A3013          ,308
A3014          ,308
A3015          ,308
A3016          ,308
A3017          ,396
A3018          ,396
A3019          ,200
A3020          ,200
A3021          ,845
A3022          ,845
A3023          ,104
A3024          ,104
A3025          ,106
A3026          ,107
A3027          ,107
A3028          ,109
A3029          ,200
A3030          ,336
A3031          ,336
A3032          ,336
A3033          ,336
A3034          ,157
A3035          ,234
A3036          ,234
A3037          ,234
A3038          ,234
A3039          ,111
A3040          ,109
A3041          ,234
A3042          ,234
A3042T         ,234
A3043          ,115
A3044          ,131
A3045          ,131
A3046          ,376
A3047          ,287
A3048          ,251
A3049          ,234
A3050          ,500
A3050T         ,500
A3051          ,845
A3052          ,845
A3053          ,845
A3054          ,502
A3054T         ,502
A3055          ,502
A3056          ,502
A3057          ,502
A3058          ,503
A3059          ,503
A3060          ,506
A3061          ,270
A3062          ,845
A3063          ,396
A3064          ,396
A3065          ,396
A3066          ,396
A3067          ,396
A3068          ,396
A3069          ,396
A3070          ,396
A3071          ,396
A3072          ,508
A3073          ,352
A3074          ,200
A3075          ,546
A3076          ,200
A3077          ,519
A3078          ,845
A3079          ,845
A3080          ,845
A3081          ,845
A3082          ,845
A3083          ,396
A3084          ,526
A3085          ,526
A3086          ,301
A3087          ,513
A3088          ,513
A3089          ,396
A3090          ,396
A3091          ,200
A3092          ,109
A3093          ,115
A3094          ,115
A3095          ,115
A3096          ,845
A3097          ,115
A3098          ,101
A3099          ,845
A3100          ,514
A3101          ,515
A3101T         ,515
A3102          ,516
A3103          ,336
A3104          ,115
A3105          ,342
A3106          ,209
A3107          ,277
A3108          ,204
A3109          ,297
A3111          ,845
A3112          ,845
A3113          ,845
A3114          ,845
A3115          ,845
A3116          ,845
A3117          ,845
A3118          ,845
A3119          ,845
A3120          ,287
A3121          ,715
A3122          ,715
A3123          ,336
A3124          ,336
A3125          ,522
A3126          ,277
A3127          ,523
A3128          ,523
A3129          ,524
A3130          ,525
A3131          ,199
A3132          ,199
A3133          ,199
A3134          ,199
A3135          ,527
A3135A         ,527
A3136          ,564
A3137          ,564
A3138          ,396
A3139          ,625
A3140          ,532
A3141          ,396
A3142          ,396
A3143          ,396
A3144          ,199
A3145          ,199
A3146          ,199
A3147          ,199
A3148          ,199
A3149          ,105
A3150          ,105
A3151          ,538
A3152          ,538
A3153          ,533
A3154          ,234
A3155          ,234
A3158          ,535
